Participant_id,Trial,Experiment_id,Start_time,Valence,Valence_L,Arousal,Arousal_L,Dominance,Liking,Familiarity
1,1,5,1695918,6.96,positive,3.92,negative,7.19,6.05,4
1,2,18,2714905,7.23,positive,7.15,positive,6.94,8.01,4
1,3,4,3586768,4.94,negative,6.01,positive,6.12,8.06,4
1,4,24,4493800,7.04,positive,7.09,positive,8.01,8.22,4
1,5,20,5362005,8.26,positive,7.91,positive,7.19,8.13,1
1,6,31,6176062,3.03,negative,8.14,positive,2.86,8.04,1
1,7,40,7138735,5.1,positive,7.12,positive,6.17,5.97,3
1,8,39,8081417,3.24,negative,6.18,positive,7.87,6.15,1
1,9,13,8960934,1.95,negative,3.12,negative,2.87,6.18,1
1,10,33,9816492,3.81,negative,3.85,negative,4.78,5.13,1
1,11,6,10696693,8.27,positive,3.92,negative,7,8.03,2
1,12,10,11559734,1.99,negative,4.86,negative,2.04,7.09,2
1,13,35,12593050,2.06,negative,8.15,positive,8.05,5.18,1
1,14,22,13429432,7.09,positive,2.08,negative,7.06,7.37,1
1,15,15,14230827,3.17,negative,8.08,positive,2.91,5.04,1
1,16,17,15040219,2.46,negative,6.91,positive,6.77,6.41,4
1,17,36,15852443,2.9,negative,6.92,positive,6.5,3.87,1
1,18,34,16671331,2.28,negative,7.09,positive,7.28,6.92,1
1,19,14,17538704,4.18,negative,2.24,negative,3.04,5.04,4
1,20,27,18394413,7.35,positive,6.95,positive,7.03,7.29,4
1,21,11,21438533,2.99,negative,2.36,negative,3.63,6.24,1
1,22,30,22211440,2.08,negative,2.99,negative,3.22,7.33,2
1,23,29,23070480,1.36,negative,2.27,negative,3,8.14,2
1,24,1,23886202,7.71,positive,7.6,positive,6.9,7.83,5
1,25,7,24727583,7.44,positive,3.73,negative,7.08,7.04,2
1,26,32,25513149,2.28,negative,8,positive,3.27,3.95,4
1,27,12,26324041,2.71,negative,2.77,negative,3.4,7.35,1
1,28,16,27096611,6.81,positive,7.44,positive,8.15,7.14,3
1,29,25,27849356,8.86,positive,7.21,positive,8.65,7.21,2
1,30,28,28631424,3.88,negative,3.35,negative,4.01,7.87,1
1,31,8,29432485,7.32,positive,2.55,negative,6.32,5.87,4
1,32,3,30256705,8.58,positive,7.54,positive,9,7.08,5
1,33,38,31027614,3.33,negative,7.18,positive,6.54,6.62,1
1,34,37,31824673,2.31,negative,6.88,positive,3.1,6.77,1
1,35,19,32609406,7.17,positive,8,positive,8.1,6.79,4
1,36,2,33358152,8.1,positive,7.31,positive,7.28,8.47,2
1,37,21,34106731,9,positive,7.95,positive,8.37,7.86,2
1,38,23,34848979,8.15,positive,3.01,negative,7.37,7.9,1
1,39,9,35645376,4.04,negative,3.29,negative,3.62,5.99,5
1,40,26,36420779,7.28,positive,7.27,positive,7.41,8.24,3
2,1,27,9130709,4.96,negative,5.01,positive,3.01,5.05,
2,2,17,10018910,9,positive,3,negative,6.03,7.41,
2,3,35,10907105,1.99,negative,2,negative,1,1,
2,4,31,11803301,4.06,negative,7.05,positive,1,9,
2,5,38,12645182,1,negative,9,positive,1,1,
2,6,32,13431914,1,negative,9,positive,2.01,1,
2,7,30,14241973,2.01,negative,7.05,positive,1,7.13,
2,8,33,15077689,5,negative,8.03,positive,3.01,1,
2,9,24,15891248,7.08,positive,9,positive,6.06,9,
2,10,29,16734959,2.99,negative,7.04,positive,7.03,9,
2,11,20,17534354,8.97,positive,9,positive,8.03,9,
2,12,12,18328085,8.01,positive,6.06,positive,7.12,9,
2,13,28,19107153,4.06,negative,4.97,negative,7.14,7.04,
2,14,37,19895552,1,negative,8.06,positive,1,1,
2,15,7,20658459,4.96,negative,1.99,negative,4.08,1,
2,16,6,21473014,5,negative,4.94,negative,5.04,1.01,
2,17,26,22268579,9,positive,8.04,positive,9,9,
2,18,18,23070306,9,positive,6.15,positive,9,8.08,
2,19,8,26149925,9,positive,9,positive,9,9,
2,20,2,26906168,8.01,positive,7.1,positive,8.04,8.08,
2,21,11,27803863,7.08,positive,1,negative,7.01,7,
2,22,4,28562106,6.05,positive,1,negative,5.04,7.03,
2,23,19,29525945,9,positive,8.32,positive,8.06,6.99,
2,24,14,30468625,8.94,positive,9,positive,8.97,9,
2,25,23,31228534,1,negative,2.97,negative,1,7.82,
2,26,13,31999938,9,positive,4.99,negative,9,9,
2,27,25,32765179,9,positive,9,positive,8.1,9,
2,28,39,33568406,1,negative,1,negative,2.97,1,
2,29,40,34353639,6.05,positive,6.67,positive,6.94,6.53,
2,30,9,35133041,9,positive,7,positive,9,7.18,
2,31,21,35891446,1,negative,1,negative,5.04,1,
2,32,22,36658023,5,negative,1,negative,4.97,5,
2,33,5,37446589,5.04,positive,3,negative,3.65,5.04,
2,34,1,38220492,9,positive,5.03,positive,7.13,6.62,
2,35,15,39004893,9,positive,8.01,positive,8.06,9,
2,36,36,39780463,5.04,positive,1,negative,7.09,1,
2,37,3,40549701,9,positive,9,positive,8.96,8.05,
2,38,34,41301779,4.87,negative,1,negative,6.99,1,
2,39,10,42088012,4.99,negative,1,negative,9,1,
2,40,16,42869078,6,positive,5.05,positive,8.05,6.14,
3,1,16,3542958,7.15,positive,4.37,negative,4.03,7.54,1
3,2,6,4350184,6.79,positive,1.97,negative,4.38,7.32,2
3,3,25,5184233,3.45,negative,1.41,negative,2.9,6.87,4
3,4,22,6023282,4.94,negative,1,negative,4.13,6.21,1
3,5,32,6820511,5.17,positive,4.49,negative,5.91,6.55,2
3,6,18,7611909,7.1,positive,2.13,negative,5.04,6.32,4
3,7,1,8391310,5.33,positive,4.67,negative,4.97,4.45,4
3,8,26,9217535,4.67,negative,1.18,negative,2.64,6.94,2
3,9,29,10013759,4.47,negative,3.85,negative,3.08,7.14,5
3,10,31,10800496,4.44,negative,4.06,negative,4.63,5,1
3,11,2,11618381,7.21,positive,4.44,negative,5.22,6.23,5
3,12,8,12450599,7.14,positive,4.33,negative,5.74,6.35,5
3,13,21,13229000,4.99,negative,6.44,positive,4.54,6.55,1
3,14,37,14093705,4.92,negative,6.05,positive,5.46,5.26,1
3,15,39,14859113,4.33,negative,6.21,positive,5.68,4.62,1
3,16,27,15659675,6.72,positive,3.29,negative,4.46,6.22,1
3,17,19,16435578,8.14,positive,3.17,negative,5.47,7.97,5
3,18,14,17208649,7.29,positive,3.86,negative,4.4,7.29,5
3,19,36,17981053,5.01,positive,5.5,positive,4.54,3.86,1
3,20,13,18777782,7.91,positive,2.97,negative,3.68,6.99,1
3,21,30,24625116,3.87,negative,3.09,negative,2.72,6.12,2
3,22,11,25398684,7.94,positive,3.12,negative,4.23,7.1,1
3,23,4,26204244,4.69,negative,3.69,negative,5,4.19,1
3,24,12,27014964,6.36,positive,3.15,negative,3.12,6.29,1
3,25,35,27772378,3.18,negative,5.04,positive,5.65,3.15,1
3,26,5,28596431,6.92,positive,4.44,negative,5.56,7.17,4
3,27,20,29406985,6.26,positive,3.13,negative,4.32,5.23,4
3,28,38,30184892,4.53,negative,5.68,positive,5.65,5.49,1
3,29,40,30966793,5.38,positive,4.33,negative,5.67,5.29,1
3,30,34,31753143,4.72,negative,8.12,positive,5.85,5.33,2
3,31,17,32546423,4.56,negative,1.78,negative,4.1,5.41,2
3,32,9,33319660,7.33,positive,3.23,negative,5.99,7.78,5
3,33,10,34117223,4.45,negative,5.49,positive,5.71,5.23,1
3,34,15,34987760,7.36,positive,2.92,negative,3.81,5.88,1
3,35,33,35755666,4.05,negative,3.83,negative,5.5,4.99,1
3,36,7,36564225,5.45,positive,3.01,negative,5.04,5.79,4
3,37,23,37355956,3.65,negative,2.5,negative,3.03,5.92,1
3,38,28,38128527,5.59,positive,2.51,negative,2.65,6.59,1
3,39,24,38912260,3.31,negative,2.27,negative,1.91,6.78,5
3,40,3,39678662,7.55,positive,2.81,negative,5.91,6.81,2
4,1,20,2644761,8.17,positive,8.05,positive,6.08,9,2
4,2,30,3488640,3.1,negative,3.08,negative,3.06,7.05,3
4,3,11,4328854,7.24,positive,7.08,positive,6.08,7.01,1
4,4,12,5135079,5.04,positive,5.04,positive,5.04,5.08,1
4,5,10,5903810,3.15,negative,3.99,negative,4.12,4.04,1
4,6,7,6675555,2.94,negative,1.99,negative,2.92,2.1,1
4,7,9,7513775,6.05,positive,3.96,negative,5.06,5.04,5
4,8,6,8303667,5.01,positive,2.95,negative,4.04,5.09,1
4,9,39,9127053,1.92,negative,2.96,negative,1.82,2.01,1
4,10,25,9948939,7,positive,6.04,positive,5.01,6.08,1
4,11,23,10702349,1.86,negative,2.04,negative,1,5.99,1
4,12,4,11473587,6.1,positive,3.92,negative,4.19,3.94,1
4,13,2,12234827,4.06,negative,3.31,negative,1.99,4.05,1
4,14,8,12999067,5.97,positive,5.05,positive,7.14,5.85,4
4,15,17,13749318,7.01,positive,5.95,positive,6.04,7.03,1
4,16,14,14503221,6.96,positive,6.97,positive,5.23,6.21,2
4,17,40,15250800,1.86,negative,2.91,negative,1.88,3,1
4,18,3,16030367,8.95,positive,8.1,positive,5.85,8.12,1
4,19,15,16786274,6.96,positive,7.05,positive,3.28,6.97,1
4,20,21,17542519,1.77,negative,2.06,negative,3.73,2.26,1
4,21,34,18369904,2.17,negative,2.18,negative,3.46,1.92,1
4,22,38,19116316,1.79,negative,1.85,negative,1.78,1.99,1
4,23,37,19866888,1,negative,1,negative,1,1,1
4,24,36,20641969,2.72,negative,2.76,negative,1.99,2.33,1
4,25,24,21397706,2.71,negative,5.13,positive,2.04,7.19,5
4,26,27,22198433,6.14,positive,6.13,positive,4.92,7.08,2
4,27,29,22965838,1.85,negative,4.88,negative,1.95,8.13,5
4,28,1,23734576,6.68,positive,5.03,positive,8.22,8.14,1
4,29,28,24528353,2.17,negative,6.96,positive,3.03,8.06,1
4,30,35,25301709,2.03,negative,2.88,negative,1.06,3.37,1
4,31,31,26068114,2.01,negative,2.23,negative,1,1.94,1
4,32,13,26833687,4.12,negative,4.88,negative,5.05,5.17,1
4,33,19,27598260,7.09,positive,6.22,positive,5.92,6.21,1
4,34,26,28362166,6,positive,4.09,negative,3.96,5.04,1
4,35,5,29111244,4.06,negative,5.04,positive,4.15,4.88,1
4,36,33,29866321,1,negative,1.97,negative,3.67,1.95,1
4,37,16,30639390,2.51,negative,2.95,negative,1.08,3.03,1
4,38,22,31405963,1.86,negative,2.78,negative,4.97,3.92,1
4,39,18,32166037,4.9,negative,2.85,negative,4.72,2.87,1
4,40,32,32940273,1.01,negative,6.15,positive,1.09,2.1,1
5,1,40,6890645,7,positive,6.96,positive,8,2.92,2
5,2,12,7766846,7.08,positive,4.03,negative,3.12,8,2
5,3,37,8646546,1.91,negative,7.01,positive,6.04,1,2
5,4,26,9524579,7.96,positive,3,negative,1,9,2
5,5,25,10365797,5.96,positive,4.87,negative,3.06,7.05,2
5,6,19,11196842,8.03,positive,4.97,negative,4.05,8.04,1
5,7,11,12016896,9,positive,6,positive,6.03,7.1,2
5,8,2,12841449,9,positive,9,positive,7.97,9,1
5,9,32,13634136,1.94,negative,4.12,negative,2.06,1.94,2
5,10,7,14507713,5.12,positive,6.97,positive,5.04,4.96,1
5,11,27,15305608,7,positive,1.99,negative,2,6.27,3
5,12,38,16128826,1,negative,3.91,negative,6.13,1.04,1
5,13,17,16973038,6.88,positive,2.96,negative,3.01,6.91,1
5,14,1,17780931,6.97,positive,4.9,negative,2.99,5.92,2
5,15,18,18642302,8.05,positive,3.97,negative,3.01,6.04,3
5,16,10,19502175,3.03,negative,4,negative,8.03,3.97,2
5,17,31,20315564,6.9,positive,6.04,positive,7.95,4.05,3
5,18,13,21118624,4.94,negative,2.88,negative,4,4.12,2
5,19,24,21900024,4,negative,5.04,positive,4.12,6.03,3
5,20,34,22708748,6.03,positive,6.97,positive,8.1,6,1
5,21,36,25538949,4.91,negative,9,positive,9,3.88,2
5,22,4,26372998,8.24,positive,5.08,positive,6.01,7.04,1
5,23,21,27148734,4,negative,2.87,negative,2.99,3.97,2
5,24,30,27953459,2.94,negative,8.1,positive,9,9,1
5,25,29,28780010,4.04,negative,3.01,negative,1.91,5.05,3
5,26,33,29576405,5.17,positive,9,positive,8.01,3.99,1
5,27,20,30409454,7,positive,1.99,negative,1,8.04,4
5,28,14,31208348,7.21,positive,4.01,negative,2.95,8.05,2
5,29,15,31986916,6.97,positive,6.05,positive,1,7.99,3
5,30,5,32819798,3.04,negative,4.01,negative,5.08,4.04,1
5,31,16,33610695,5.96,positive,5.04,positive,4.01,7.97,1
5,32,28,34391225,3.9,negative,4.08,negative,2.86,5.04,2
5,33,35,35183825,4.86,negative,8.1,positive,8.17,3.97,1
5,34,3,35958400,4.95,negative,4.88,negative,2.06,7.01,1
5,35,22,36755456,6.99,positive,7.95,positive,1.99,8.97,2
5,36,9,37588796,6.94,positive,4.95,negative,3.99,4.04,1
5,37,8,38387732,8.17,positive,5.91,positive,4.04,7.04,1
5,38,6,39169799,8.09,positive,7.08,positive,4.94,7.14,1
5,39,39,39936870,1,negative,4.86,negative,7.05,1,1
5,40,23,40720603,1,negative,7.05,positive,7,1.96,2
6,1,31,4863503,3.65,negative,3.49,negative,4.05,6.36,1
6,2,5,5941302,7.01,positive,7.38,positive,6.55,7.36,5
6,3,38,6807507,4.44,negative,5.58,positive,3.12,5.04,1
6,4,20,7827159,5.01,positive,3.05,negative,6.59,3.03,1
6,5,32,8705026,6.99,positive,4.5,negative,7.12,8.05,5
6,6,11,9549738,4.99,negative,2.5,negative,7.31,4.03,1
6,7,18,10445101,7.59,positive,5.81,positive,6.14,6.37,5
6,8,7,11258984,8.26,positive,8.27,positive,7.28,8,5
6,9,15,12117696,5.59,positive,3.79,negative,3.68,4.04,1
6,10,27,12985900,5.08,positive,3.47,negative,3.74,3.08,1
6,11,30,13875929,6.99,positive,3.79,negative,3.83,7.1,3
6,12,10,14773790,7.37,positive,5.46,positive,8.4,8.03,3
6,13,37,15608172,4.83,negative,5.74,positive,4.56,2.18,1
6,14,16,16467217,5.06,positive,7.45,positive,3.67,7.08,1
6,15,21,17284933,6.28,positive,4.59,negative,3.42,6.13,1
6,16,14,18134977,6.32,positive,3.49,negative,7.4,5.38,5
6,17,36,18938703,5.71,positive,6.21,positive,8.49,7.46,1
6,18,34,19755090,3.31,negative,4.45,negative,6.23,2.36,1
6,19,26,20572146,5.08,positive,3.37,negative,6.22,2.79,2
6,20,24,21348881,3.5,negative,4.01,negative,3.41,4.22,5
6,21,39,22761399,6.56,positive,6.5,positive,7.53,7.4,1
6,22,28,23552962,6.42,positive,3.62,negative,7.78,6.99,1
6,23,2,24331697,6.83,positive,6.62,positive,7.08,5.96,2
6,24,12,25151417,7.17,positive,3.12,negative,6.87,2.99,1
6,25,13,26006958,7.79,positive,3.95,negative,7.38,6.99,1
6,26,9,26811851,7.87,positive,5.13,positive,6.1,8.28,5
6,27,40,27646899,4.85,negative,4.64,negative,5.04,5.03,1
6,28,23,28469451,3.47,negative,3.54,negative,3.59,4.55,1
6,29,19,29268346,7.41,positive,5.6,positive,6.67,6.91,5
6,30,3,30120389,7.69,positive,5.99,positive,6.87,6.49,5
6,31,25,30941109,7.09,positive,6.42,positive,3.49,6.36,3
6,32,4,31727674,7.55,positive,6.79,positive,7.56,7.05,5
6,33,17,32531067,6.72,positive,3.63,negative,2.88,6.15,4
6,34,22,33318298,7.56,positive,3.19,negative,2.46,7.23,1
6,35,29,34089368,4.27,negative,5.45,positive,3.71,6.63,4
6,36,33,34917586,6.68,positive,4.37,negative,7.96,3.88,1
6,37,1,35687490,8.19,positive,4.13,negative,6.56,7.47,5
6,38,8,36555024,7.05,positive,2.69,negative,5,6.83,5
6,39,6,37428063,8.05,positive,4.5,negative,7.58,6.63,3
6,40,35,38227457,3.96,negative,5.71,positive,3.06,3.71,1
7,1,17,4279702,7.12,positive,2.05,negative,3,8.1,5
7,2,27,5147406,6.09,positive,3.04,negative,1.96,7.97,5
7,3,30,6025940,3.09,negative,6.08,positive,5.04,2.96,5
7,4,29,6882483,7.09,positive,2.94,negative,1,7,5
7,5,3,7729859,7.1,positive,4.12,negative,3.03,6.09,5
